place_original	place_reconciled	place_wikidata_id	description_de	description	img_url	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Aachen	Aachen	Q1017	Großstadt in Nordrhein-Westfalen, Deutschland	city in North Rhine-Westphalia, Germany	https://upload.wikimedia.org/wikipedia/commons/3/39/Blick_AC_Dom_von_St_Jakob.JPG	50.776207,6.083788	POINT(6.083788 50.776207)	4000003-5	/m/0qjd	3247449	7004799	http://purl.org/net7/korbo2/item/404
Aarau	Aarau	Q14274	politische Gemeinde, Hauptort des Kantons Aargau, Schweiz	capital of Canton Aargau, Switzerland	https://upload.wikimedia.org/wikipedia/commons/f/f0/Aarau_Altstadt_Kirche_8941.jpg	47.3923,8.0446	POINT(8.0446 47.3923)	4000018-7	/m/0zq6	7285013		http://purl.org/net7/korbo2/item/423
Aigle	Aigle	Q43195	Gemeinde im Kanton Waadt in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/5/53/Aigle.jpg	46.3173,6.9646	POINT(6.9646 46.3173)	4289597-2	/m/02md8j	7285042		http://korbo2.org/v1/items/2161
Aigle (Waadt)	Aigle	Q43195	Gemeinde im Kanton Waadt in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/5/53/Aigle.jpg	46.3173,6.9646	POINT(6.9646 46.3173)	4289597-2	/m/02md8j	7285042		http://purl.org/net7/korbo2/item/2161
Amsterdam	Amsterdam	Q727	Hauptstadt der Niederlande	capital and largest city of the Netherlands	https://upload.wikimedia.org/wikipedia/commons/7/74/AmsterdamLuchtfotoBmz.jpg	52.383333333333,4.9	POINT(4.9 52.383333333333)	4001783-7	/m/0k3p	2759794	7006952	http://purl.org/net7/korbo2/item/3011
Anticoli Corrado	Anticoli Corrado	Q241708	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/1/19/Anticoli_Corrado_01.jpg	42.016666666667,12.983333333333	POINT(12.983333333333 42.016666666667)	4428359-3	/m/0gm6r6	6538667		http://purl.org/net7/korbo2/item/791
Anvers	Antwerp	Q12892	belgische Großstadt	city in the province of Antwerp, Belgium	https://upload.wikimedia.org/wikipedia/commons/6/6d/Antwerpen_vanop_mas_2.JPG	51.217777777778,4.4002777777778	POINT(4.4002777777778 51.217777777778)	4002364-3	/m/0fydw	2803139	7007856	http://purl.org/net7/korbo2/item/433
Arbon Kt. Thurgau	Arbon	Q64156	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/4/4a/Picswiss_TG-11-01.jpg	47.516666666667,9.4333333333333	POINT(9.4333333333333 47.516666666667)	4085883-2	/m/0g363d	7285089		http://purl.org/net7/korbo2/item/248
Arisdorf	Arisdorf	Q66564	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/e/e9/Arisdorf-olsberg.JPG	47.512777777778,7.765	POINT(7.765 47.512777777778)	4567671-9	/m/0g6f0y	7285094		http://purl.org/net7/korbo2/item/415
Arlesheim	Arlesheim	Q581647	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/3/33/Arlesheim-Dorf.jpg	47.492222222222,7.6202777777778	POINT(7.6202777777778 47.492222222222)	4002929-3	/m/0g77y5	7285096		http://purl.org/net7/korbo2/item/440
Arosa	Arosa	Q63954	Gemeinde in der Schweiz	resort in the canton of Graubünden, Switzerland	https://upload.wikimedia.org/wikipedia/commons/f/fd/Arosa2007_12_15_001.JPG	46.783055555556,9.6830555555556	POINT(9.6830555555556 46.783055555556)	4079837-9	/m/0643ch	7285102		http://purl.org/net7/korbo2/item/247
Aussersihl	Aussersihl	Q677133	Stadtteil von Zürich	district in Zürich, Switzerland	https://upload.wikimedia.org/wikipedia/commons/c/c0/Z%C3%BCrich_-_Hardau_-_Industriequartier_-_Uetlibergturm_IMG_1596.JPG	47.375,8.527	POINT(8.527 47.375)	4657875-4	/m/02vv251	2661666		http://purl.org/net7/korbo2/item/400
