id	resource	problem	wikidata_id	id_wiki	wiki_address	label_en	description_english	description_german	commons_url	HDS ID	GND ID	date of birth	date of death	place of birth	coordinate_location_birth	place of death	coordinate location
1980			Petermann Etterlin	Q121400	https://www.wikidata.org/wiki/Q121400	Petermann Etterlin	Swiss historian			14738	100130909	1430-01-01T00:00:00Z	1509-01-01T00:00:00Z				
2531	/m/0y5v0c6		Immanuel Stockmeyer	Q55905248	https://www.wikidata.org/wiki/Q55905248	Immanuel Stockmeyer					100592988	1814-07-28T00:00:00Z	1894-11-15T00:00:00Z				
239	/m/03cn_gt		Karl von Lützow	Q124190	https://www.wikidata.org/wiki/Q124190	Karl von Lützow	German art historian and critic	deutscher Kunsthistoriker	https://upload.wikimedia.org/wikipedia/commons/b/bc/Carl_von_luetzow.jpg		100804691	1832-12-25T00:00:00Z	1897-04-22T00:00:00Z	Göttingen	51.533888888889,9.9355555555556	Vienna	48.20833,16.373064
104510			Balthasar Reber	Q23061637	https://www.wikidata.org/wiki/Q23061637	Balthasar Reber				29450	10081896X	1805-12-07T00:00:00Z	1875-03-13T00:00:00Z	Basel	47.550555555556,7.5911111111111		
2254	/m/027vmwd		Andrea Dandolo	Q353193	https://www.wikidata.org/wiki/Q353193	Andrea Dandolo	Doge of Venice	Doge von Venedig	https://upload.wikimedia.org/wikipedia/commons/1/1f/Andrea_Dandolo_%281306-1354%29_-_54_%C3%A8me_Doge_de_Venise.jpg		100939716	1306-04-30T00:00:00Z	1354-09-07T00:00:00Z	Venice	45.439722222222,12.331944444444	Venice	45.439722222222,12.331944444444
1540	/m/011s94n8		Karl Streckeisen	Q55886597	https://www.wikidata.org/wiki/Q55886597	Karl Streckeisen					1011953730	1811-01-01T00:00:00Z	1868-01-01T00:00:00Z				
397	/m/0v10slp		Heinrich Leibnitz	Q989830	https://www.wikidata.org/wiki/Q989830	Heinrich Leibnitz	German painter	deutscher Zeichner und Maler	https://upload.wikimedia.org/wikipedia/commons/0/06/Heinrich_Leibnitz_-_Selbstbildnis_1841_%28SM_83%29.jpg		1012283348	1811-10-13T00:00:00Z	1889-01-05T00:00:00Z	Stuttgart	48.776111111111,9.1775	Tübingen	48.52,9.0555555555556
319	/m/0sxgf87		Friedrich von Preen	Q1463934	https://www.wikidata.org/wiki/Q1463934	Friedrich von Preen					116281456	1823-06-15T00:00:00Z	1894-05-05T00:00:00Z	Karlsruhe	49.016666666667,8.4	Karlsruhe	49.016666666667,8.4
582	/m/0t4_3hb		Eugen von Regenauer	Q20180095	https://www.wikidata.org/wiki/Q20180095	Eugen von Regenauer					1012295613	1824-06-11T00:00:00Z	1897-12-06T00:00:00Z	Karlsruhe	49.016666666667,8.4		
572	/m/0sxhjls		Gustav Stehelin	Q61993418	https://www.wikidata.org/wiki/Q61993418	Gustav Stehelin	Businessman in Milan				1012336190	1842-01-01T00:00:00Z	1901-01-01T00:00:00Z				
1580	/m/0lnjk		Alphonse-Louis du Plessis de Richelieu	Q1079409	https://www.wikidata.org/wiki/Q1079409	Alphonse-Louis du Plessis de Richelieu	Catholic cardinal		https://upload.wikimedia.org/wikipedia/commons/7/79/Alphonse_Louis_du_Plessis.JPG		1012656993	1582-01-01T00:00:00Z	1653-03-23T00:00:00Z	Paris	48.856577777778,2.3518277777778	Lyon	45.758888888889,4.8413888888889
													1653-03-24T00:00:00Z				
1074	/m/0t5b4ww		Marie Baumgartner	Q18011888	https://www.wikidata.org/wiki/Q18011888	Marie Baumgartner					1012711811	1831-01-01T00:00:00Z	1897-07-03T00:00:00Z			Lörrach	47.615555555556,7.6613888888889
2187			Pavel Alexandrovich Stroganov	Q922671	https://www.wikidata.org/wiki/Q922671	Pavel Alexandrovich Stroganov			https://upload.wikimedia.org/wikipedia/commons/e/e9/Portrait_of_Count_Pavel_Stroganoff_%281772-1817%29.jpg		1013261615	1774-06-18T00:00:00Z	1817-06-22T00:00:00Z	Paris	48.856577777778,2.3518277777778	Copenhagen	55.676111111111,12.568888888889
												1774-06-06T00:00:00Z	1817-06-10T00:00:00Z				
2695	http://purl.org/net7/korbo2/ite/m/2695		Emil Stähelin	Q63123051	https://www.wikidata.org/wiki/Q63123051	Emil Stähelin	Emil Stähelin (Staehelin-Burckhardt) (1842-1894) was a Swiss businessman.				1013336690	1842-01-01T00:00:00Z	1894-01-01T00:00:00Z				
103040			Fritz Speiser	Q55679310	https://www.wikidata.org/wiki/Q55679310	Fritz Speiser					1013482271	1853-12-28T00:00:00Z	1913-11-06T00:00:00Z	Basel	47.550555555556,7.5911111111111	Fribourg	46.8,7.15
1250	http://purl.org/net7/korbo2/ite/m/1250		Tilman-François Suys	Q1755224	https://www.wikidata.org/wiki/Q1755224	Tilman-François Suys	architect	flämischer Architekt	https://upload.wikimedia.org/wikipedia/commons/d/de/Suys_par_Robert.jpg		1013974557	1783-07-01T00:00:00Z	1861-07-11T00:00:00Z	Ostend	51.233333333333,2.9333333333333	Wingene	51.05,3.2666666666667
